Country Name,Country Code,Indicator Name,Indicator Code,2011
Afghanistan,AFG,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Afghanistan,AFG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,379100
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.12366803
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,7791000
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.26768155
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,11.94517272
Afghanistan,AFG,Land under cereal production (hectares),AG.LND.CREL.HA,2820000
Afghanistan,AFG,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.182450976
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,13500
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.069821995
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,5.391717225
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230
Afghanistan,AFG,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Afghanistan,AFG,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,110.33
Afghanistan,AFG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,109.01
Afghanistan,AFG,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,107.3
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652230
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1659.936
Afghanistan,AFG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,358.5338142
Afghanistan,AFG,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,24.27680139
Afghanistan,AFG,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,53
Afghanistan,AFG,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Afghanistan,AFG,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Afghanistan,AFG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Afghanistan,AFG,Rural population,SP.RUR.TOTL,22251954.41
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.059123093
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,76.4528
Afghanistan,AFG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,12.8790088
Angola,AGO,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Angola,AGO,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,583900
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.83564611
Angola,AGO,Arable land (hectares),AG.LND.ARBL.HA,4100000
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.203166524
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,3.288682121
Angola,AGO,Land under cereal production (hectares),AG.LND.CREL.HA,1945717
Angola,AGO,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.232614101
Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,583552
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,46.80773241
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1010
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Angola,AGO,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Angola,AGO,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,208.8
Angola,AGO,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,188.24
Angola,AGO,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,124.59
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700
Angola,AGO,Cereal yield (kg per hectare),AG.YLD.CREL.KG,694.169
Angola,AGO,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,831.0792144
Angola,AGO,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,9.289702794
Angola,AGO,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,34.7
Angola,AGO,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Angola,AGO,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Angola,AGO,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Angola,AGO,Rural population,SP.RUR.TOTL,8245223.521
Angola,AGO,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.326892672
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,40.8574
Angola,AGO,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,
Angola,AGO,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,
Albania,ALB,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Albania,ALB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,12010
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.83211679
Albania,ALB,Arable land (hectares),AG.LND.ARBL.HA,622000
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.197217208
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,22.70072993
Albania,ALB,Land under cereal production (hectares),AG.LND.CREL.HA,147599
Albania,ALB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.700729927
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7751.6
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.29051095
Albania,ALB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1485
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Albania,ALB,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Albania,ALB,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,146.54
Albania,ALB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,125.51
Albania,ALB,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,108.04
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4750.71
Albania,ALB,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,3462.02787
Albania,ALB,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,18.64839769
Albania,ALB,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,93.7
Albania,ALB,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Albania,ALB,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Albania,ALB,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Albania,ALB,Rural population,SP.RUR.TOTL,1470195.176
Albania,ALB,Rural population growth (annual %),SP.RUR.TOTL.ZG,-2.135257346
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,46.6154
Albania,ALB,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.950213011
Albania,ALB,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.568823774
United Arab Emirates,ARE,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
United Arab Emirates,ARE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
United Arab Emirates,ARE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
United Arab Emirates,ARE,Agricultural land (sq. km),AG.LND.AGRI.K2,3973
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,4.752392344
United Arab Emirates,ARE,Arable land (hectares),AG.LND.ARBL.HA,50600
United Arab Emirates,ARE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.005669407
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,0.605263158
United Arab Emirates,ARE,Land under cereal production (hectares),AG.LND.CREL.HA,1809
United Arab Emirates,ARE,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.498803828
United Arab Emirates,ARE,Forest area (sq. km),AG.LND.FRST.K2,3183.6
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,3.808133971
United Arab Emirates,ARE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
United Arab Emirates,ARE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,78
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,83600
United Arab Emirates,ARE,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
United Arab Emirates,ARE,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,113.59
United Arab Emirates,ARE,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,120.89
United Arab Emirates,ARE,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,128.94
United Arab Emirates,ARE,Surface area (sq. km),AG.SRF.TOTL.K2,83600
United Arab Emirates,ARE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,73325.041
United Arab Emirates,ARE,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,
United Arab Emirates,ARE,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,
United Arab Emirates,ARE,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,100
United Arab Emirates,ARE,Poverty gap at rural poverty line (%),SI.POV.RUGP,
United Arab Emirates,ARE,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
United Arab Emirates,ARE,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
United Arab Emirates,ARE,Rural population,SP.RUR.TOTL,1398419.742
United Arab Emirates,ARE,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.738835721
United Arab Emirates,ARE,Rural population (% of total population),SP.RUR.TOTL.ZS,15.6684
United Arab Emirates,ARE,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,
United Arab Emirates,ARE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,
Argentina,ARG,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Argentina,ARG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,1475480
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.91476565
Argentina,ARG,Arable land (hectares),AG.LND.ARBL.HA,38048000
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.934180676
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,13.90292653
Argentina,ARG,Land under cereal production (hectares),AG.LND.CREL.HA,10904413
Argentina,ARG,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.365404923
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,291602
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.65528065
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,591
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
Argentina,ARG,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Argentina,ARG,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,126.96
Argentina,ARG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,114.09
Argentina,ARG,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,96.97
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4464.738
Argentina,ARG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,
Argentina,ARG,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,11.51103866
Argentina,ARG,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,95.4
Argentina,ARG,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Argentina,ARG,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Argentina,ARG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,1.200000048
Argentina,ARG,Rural population,SP.RUR.TOTL,3056773.244
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,-1.049786951
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,7.5052
Argentina,ARG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.025439981
Argentina,ARG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.267100676
Armenia,ARM,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Armenia,ARM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,17106
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.06320225
Armenia,ARM,Arable land (hectares),AG.LND.ARBL.HA,430200
Armenia,ARM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.145135824
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,15.10533708
Armenia,ARM,Land under cereal production (hectares),AG.LND.CREL.HA,158838
Armenia,ARM,Permanent cropland (% of land area),AG.LND.CROP.ZS,1.875
Armenia,ARM,Forest area (sq. km),AG.LND.FRST.K2,2578
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,9.051966292
Armenia,ARM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,562
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28480
Armenia,ARM,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Armenia,ARM,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,119.26
Armenia,ARM,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,116.28
Armenia,ARM,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,120.76
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740
Armenia,ARM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2741.598
Armenia,ARM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,6942.182206
Armenia,ARM,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,20.65937625
Armenia,ARM,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,98.4
Armenia,ARM,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Armenia,ARM,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Armenia,ARM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Armenia,ARM,Rural population,SP.RUR.TOTL,1063680.39
Armenia,ARM,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.114842833
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,35.8852
Armenia,ARM,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.120695586
Armenia,ARM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.054633982
American Samoa,ASM,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
American Samoa,ASM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,49
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.5
American Samoa,ASM,Arable land (hectares),AG.LND.ARBL.HA,3000
American Samoa,ASM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.054275066
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,15
American Samoa,ASM,Land under cereal production (hectares),AG.LND.CREL.HA,
American Samoa,ASM,Permanent cropland (% of land area),AG.LND.CROP.ZS,9.5
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,176.8
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,88.4
American Samoa,ASM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
American Samoa,ASM,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
American Samoa,ASM,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,95.1
American Samoa,ASM,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,99.51
American Samoa,ASM,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,102.25
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200
American Samoa,ASM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,
American Samoa,ASM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,
American Samoa,ASM,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,
American Samoa,ASM,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,100
American Samoa,ASM,Poverty gap at rural poverty line (%),SI.POV.RUGP,
American Samoa,ASM,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
American Samoa,ASM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
American Samoa,ASM,Rural population,SP.RUR.TOTL,3756.531588
American Samoa,ASM,Rural population growth (annual %),SP.RUR.TOTL.ZG,-3.921228382
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,6.7962
American Samoa,ASM,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,
American Samoa,ASM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,
Antigua and Barbuda,ATG,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Antigua and Barbuda,ATG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,90
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.45454545
Antigua and Barbuda,ATG,Arable land (hectares),AG.LND.ARBL.HA,4000
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.045376168
Antigua and Barbuda,ATG,Arable land (% of land area),AG.LND.ARBL.ZS,9.090909091
Antigua and Barbuda,ATG,Land under cereal production (hectares),AG.LND.CREL.HA,45
Antigua and Barbuda,ATG,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.272727273
Antigua and Barbuda,ATG,Forest area (sq. km),AG.LND.FRST.K2,98
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,22.27272727
Antigua and Barbuda,ATG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1030
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Antigua and Barbuda,ATG,Agricultural machinery   tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,
Antigua and Barbuda,ATG,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,115.89
Antigua and Barbuda,ATG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,113.11
Antigua and Barbuda,ATG,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,110.14
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,440
Antigua and Barbuda,ATG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2000
Antigua and Barbuda,ATG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2401.97974
Antigua and Barbuda,ATG,Agriculture   value added (% of GDP),NV.AGR.TOTL.ZS,2.262214278
Antigua and Barbuda,ATG,Improved water source   rural (% of rural population with access),SH.H2O.SAFE.RU.ZS,97.9
Antigua and Barbuda,ATG,Poverty gap at rural poverty line (%),SI.POV.RUGP,
Antigua and Barbuda,ATG,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,61816.94261
Antigua and Barbuda,ATG,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.058542831
Antigua and Barbuda,ATG,Rural population (% of total population),SP.RUR.TOTL.ZS,70.1254
Antigua and Barbuda,ATG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.209722795
Antigua and Barbuda,ATG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.411467628
Australia,AUS,Agricultural machinery   tractors,AG.AGR.TRAC.NO,
Australia,AUS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,
Australia,AUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,4096726
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.32681619
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,47678000
